u,v,key,osmid,oneway,highway,maxspeed,reversed,length,from,to,lanes,name,bridge,junction,width,access,service,tunnel
4020778159,11664025640,0,809391023,1,primary,60,False,98.988,11664025640,4020778159,2,Avenida Pedro P. Diaz,,,,,,,
4020778163,4020778164,0,"[1185638024, 399343610, 1185638023]",0,footway,,True,11.215,4020778164,4020778163,,,,,,,,,
4020778163,4020778167,0,227667738,1,primary,60,False,106.83,4020778167,4020778163,2,Avenida Pedro P. Diaz,,,,,,,
4020778164,10780714922,0,399343610,0,footway,,True,5.389,10780714922,4020778164,,,,,,,,,
4020778164,4020778168,0,809391023,1,primary,60,False,103.71,4020778164,4020778168,2,Avenida Pedro P. Diaz,,,,,,,
4020778167,4020778168,0,"[399343611, 1185638021, 1185638022]",0,footway,,True,10.687,4020778168,4020778167,,,,,,,,,
4020778170,4020778171,0,"[1185635024, 1185638018, 399343612]",0,footway,,True,10.083,4020778171,4020778170,,,,,,,,,
4020778170,4020778991,0,227667738,1,primary,60,False,255.355,4020778991,4020778170,2,Avenida Pedro P. Diaz,,,,,,,
4020778171,4020778992,0,1276190813,1,primary,60,False,255.291,4020778171,4020778992,2,Avenida Pedro P. Diaz,,,,,,,
4020778991,4020778992,0,"[1185638017, 1185635028, 399343665]",0,footway,,True,11.199,4020778992,4020778991,,,,,,,,,
4020778991,11014125141,0,227667738,1,primary,60,False,3.764,11014125141,4020778991,2,Avenida Pedro P. Diaz,,,,,,,
4020778992,11014125142,0,1276190813,1,primary,60,False,3.43,4020778992,11014125142,2,Avenida Pedro P. Diaz,,,,,,,
4020781508,5175036499,0,1186039529,0,footway,,False,10.839,5175036499,4020781508,,,,,,,,,
4020781508,5110361416,0,"[538629441, 538629445, 538629426, 1066431507, 508546292, 525277492, 1066431508, 538629430]",1,primary,60,False,588.931,4020781508,5110361416,2,Avenida los Incas,,,,,,,yes
4025040684,4096534439,0,399821370,0,corridor,,True,36.132,4096534439,4025040684,,,,,,,,,
4025040684,5381354364,0,110824727,1,residential,30,False,59.128,5381354364,4025040684,2,Calle Alto de la Luna,,,,,,,
4025040685,11101838052,0,407609608,1,residential,40,False,52.141,4025040685,11101838052,2,Calle San Camilo,,,,,,,
4025040685,11101838039,0,1196397801,0,footway,,False,15.052,11101838039,4025040685,,,,,,,,,
4025040685,11101838037,0,407609608,1,residential,40,False,8.555,11101838037,4025040685,2,Calle San Camilo,,,,,,,
4025045388,4025046893,0,399823495,0,service,,True,135.471,4025046893,4025045388,,,,,,,private,emergency_access,
4025046893,4025046896,0,399823496,0,service,,True,23.054,4025046896,4025046893,,,,,,,private,,
4025046893,4025046899,0,399823496,0,service,,False,58.712,4025046899,4025046893,,,,,,,private,,
4025046896,11087434784,0,399823497,0,service,,True,13.118,11087434784,4025046896,,,,,,,private,,
4025046896,4058288121,0,399823496,0,service,,True,18.729,4058288121,4025046896,,,,,,,private,,
4025046899,4058288121,0,399823496,0,service,,False,17.326,4058288121,4025046899,,,,,,,private,,
4025046899,6061568501,0,403480282,0,footway,,False,39.602,6061568501,4025046899,,,,,,,,,
4025046911,4058288099,0,675622468,1,residential,40,False,62.538,4025046911,4058288099,2,Calle Peral,,,,,,,
4025046911,8835591997,0,"[954581384, 954584972]",0,service,,True,13.022,8835591997,4025046911,,,,,,,private,,
4025046919,5150381075,0,399823499,0,service,,False,53.937,5150381075,4025046919,,,,,,,private,,
4025046919,4025046927,0,399823500,0,service,,True,11.019,4025046927,4025046919,,,,,,,no,,
4025046919,6061568182,0,399823500,0,service,,False,70.061,6061568182,4025046919,,,,,,,no,,
4025080596,4025080608,0,110810059,1,residential,40,False,15.918,4025080596,4025080608,,Calle 28 de Julio,,,,,,,
4025080596,4025080614,0,399826349,0,corridor,,True,9.193,4025080614,4025080596,,,,,,,,,
4025080597,4025080606,0,399826349,0,corridor,,False,2.098,4025080606,4025080597,,,,,,,,,
4025080606,4025080610,0,399826349,0,corridor,,False,12.702,4025080610,4025080606,,,,,,,,,
4025080606,4025080607,0,399826352,0,corridor,,True,57.234,4025080607,4025080606,,,,,,,,,
4025080607,4025080611,0,110806496,1,residential,40,False,14.447,4025080611,4025080607,2,Calle San Juan de Dios,,,,,,,
4025080608,4025080612,0,110810059,1,residential,40,False,22.389,4025080608,4025080612,,Calle 28 de Julio,,,,,,,
4025080608,4025080615,0,399826353,0,corridor,,True,9.931,4025080615,4025080608,,,,,,,,,
4025080609,4025080615,0,399826353,0,corridor,,False,5.264,4025080615,4025080609,,,,,,,,,
4025080609,4025080613,0,399826354,0,corridor,,True,23.954,4025080613,4025080609,,,,,,,,,
4025080609,4025080610,0,399826354,0,corridor,,False,16.03,4025080610,4025080609,,,,,,,,,
4025080610,4025080614,0,399826349,0,corridor,,False,5.785,4025080614,4025080610,,,,,,,,,
4025080611,4025080613,0,399826354,0,corridor,,False,19.683,4025080613,4025080611,,,,,,,,,
4025080611,11100229813,0,110806496,1,residential,40,False,3.094,11100229813,4025080611,2,Calle San Juan de Dios,,,,,,,
4025080612,11100229807,0,110810059,1,residential,40,False,16.04,4025080612,11100229807,,Calle 28 de Julio,,,,,,,
4025080612,4025080616,0,399826355,0,corridor,,True,10.706,4025080616,4025080612,,,,,,,,,
4025080613,4025080616,0,399826355,0,corridor,,False,5.287,4025080616,4025080613,,,,,,,,,
4025080614,4025080615,0,399826356,0,corridor,,True,15.931,4025080615,4025080614,,,,,,,,,
4025080615,4025080616,0,399826356,0,corridor,,True,23.714,4025080616,4025080615,,,,,,,,,
4025080616,11105070086,0,399826356,0,corridor,,True,14.756,11105070086,4025080616,,,,,,,,,
4027106783,4027106785,0,400082329,0,service,,True,14.48,4027106785,4027106783,,,,,,,,,
4027106784,4027106785,0,400082329,0,service,,False,99.976,4027106785,4027106784,,,,,,,,,
4030235025,5468788422,0,109452147,1,tertiary,30,False,15.001,4030235025,5468788422,1,Calle Universidad,,,,,,,
4030235025,11021360892,0,"[1186657706, 1186657647]",0,footway,,True,22.133,11021360892,4030235025,,,,,,,,,
4030235025,11021360896,0,"[297585280, 1184518151, 1184518152, 1186657711, 1186657647, 400475417]",0,"['footway', 'steps']",,"[False, True]",60.441,11021360896,4030235025,,,yes,,,,,,
4030235025,5377965385,0,109452147,1,tertiary,30,False,94.78,5377965385,4030235025,1,Calle Universidad,,,,,,,
4030235749,10758109108,0,558062850,0,residential,30,False,11.859,10758109108,4030235749,,Universidad San Agustin,,,,,,,
4030235749,11086686807,0,558062850,0,residential,30,True,61.507,11086686807,4030235749,,Universidad San Agustin,,,,,,,
4030235749,5465545043,0,400475807,1,service,,False,68.98,5465545043,4030235749,,Occidente,,,,,,,
4030235752,5465545043,0,400475807,1,service,,False,24.794,4030235752,5465545043,,Occidente,,,,,,,
4030235752,4030235770,0,400475813,0,service,,False,5.932,4030235770,4030235752,,,,,,,,,
4030235752,4030235755,0,400475813,0,service,,True,13.138,4030235755,4030235752,,,,,,,,,
4030235754,4030235770,0,400475813,0,service,,True,6.118,4030235770,4030235754,,,,,,,,,
4030235754,4030235772,0,400475813,0,service,,False,15.624,4030235772,4030235754,,,,,,,,,
4030235754,10758109108,0,400475809,1,service,,False,86.706,10758109108,4030235754,,Occidente,,,,,,,
4030235755,4030235756,0,400475810,0,footway,,True,6.073,4030235756,4030235755,,8,,,,,,,
4030235755,4030256930,0,1156855669,0,service,,True,20.784,4030256930,4030235755,,,,,,,,,
4030235755,4030235757,0,1156855669,0,service,,False,13.377,4030235757,4030235755,,,,,,,,,
4030235757,4030235758,0,400475811,0,footway,,True,5.023,4030235758,4030235757,,6 y 7,,,,,,,
4030235757,4030235770,0,1156855668,0,service,,False,10.047,4030235770,4030235757,,,,,,,,,
4030235757,4030243891,0,1156855669,0,service,,False,14.964,4030243891,4030235757,,,,,,,,,
4030235759,4030235763,0,400475812,0,footway,,True,41.327,4030235763,4030235759,,,,,,,,,
4030235759,4030243899,0,400475812,0,footway,,False,22.043,4030243899,4030235759,,,,,,,,,
4030235759,4030243894,0,"[400476346, 400476347]",0,"['footway', 'steps']",,"[False, True]",23.375,4030243894,4030235759,,,,,,,,,
4030235763,4030235775,0,400475812,0,footway,,True,6.874,4030235775,4030235763,,,,,,,,,
4030235763,4030235777,0,400475816,0,footway,,True,5.127,4030235777,4030235763,,1,,,,,,,
4030235767,4030256927,0,400478013,0,footway,,True,8.983,4030256927,4030235767,,11,,,,,,,
4030235767,4030256925,0,1156855669,0,service,,True,7.446,4030256925,4030235767,,,,,,,,,
4030235767,4030256928,0,1156855669,0,service,,False,21.042,4030256928,4030235767,,,,,,,,,
4030235768,4030256925,0,1156855669,0,service,,False,14.02,4030256925,4030235768,,,,,,,,,
4030235768,10853104286,0,400478010,0,footway,,True,13.76,10853104286,4030235768,,,,,,,,,
4030235768,4030254907,0,1156855669,0,service,,True,18.187,4030254907,4030235768,,,,,,,,,
4030235772,4030235773,0,400475812,0,footway,,False,15.661,4030235773,4030235772,,,,,,,,,
4030235772,4030243891,0,1156855669,0,service,,True,1.661,4030243891,4030235772,,,,,,,,,
4030235773,4030243889,0,400475812,0,footway,,False,7.063,4030243889,4030235773,,,,,,,,,
4030235773,4030235774,0,400475814,0,footway,,True,5.142,4030235774,4030235773,,4,,,,,,,
4030235775,4030235776,0,400475815,0,footway,,True,5.4,4030235776,4030235775,,2,,,,,,,
4030235775,4030243889,0,400475812,0,footway,,True,19.718,4030243889,4030235775,,,,,,,,,
4030243889,4030243890,0,400476341,0,footway,,True,5.219,4030243890,4030243889,,,,,,,,,
4030243891,4030243892,0,400476343,0,footway,,True,4.907,4030243892,4030243891,,5,,,,,,,
4030243894,4030257455,0,"[400476345, 400478285]",0,"['footway', 'steps']",,"[False, True]",34.738,4030257455,4030243894,,,,,,,,,
4030243894,4030243899,0,"[400476346, 400476348]",0,"['footway', 'steps']",,True,23.092,4030243899,4030243894,,,,,,,,,
4030243899,5465545066,0,400475812,0,footway,,False,89.546,5465545066,4030243899,,,,,,,,,
4030247121,5465543201,0,400477171,0,footway,,True,70.842,5465543201,4030247121,,Oriente,,,,,,,
4030247121,5465545066,0,"[1156855665, 400475812]",0,footway,,True,79.464,5465545066,4030247121,,,,,,,,,
4030247121,4030247143,0,1156855665,0,footway,,False,79.28,4030247143,4030247121,,,,,,,,,
4030247127,4030247143,0,1156855665,0,footway,,True,84.922,4030247143,4030247127,,,,,,,,,
4030247127,4030247134,0,1156855665,0,footway,,False,121.722,4030247134,4030247127,,,,,,,,,
4030247134,4030254907,0,400477694,0,corridor,,False,47.932,4030254907,4030247134,,,,,,,,,
4030247134,4030247135,0,"[1156855666, 1156855667]",0,"['footway', 'steps']",,False,16.387,4030247135,4030247134,,,,,,,,,
4030247135,4030256903,0,400478009,0,service,,True,6.391,4030256903,4030247135,,,,,,,,,
4030247135,4030254907,0,1156855669,0,service,,False,29.029,4030254907,4030247135,,,,,,,,,
4030247143,4356473120,0,400477170,0,footway,,True,46.733,4356473120,4030247143,,Norte,,,,,,,
4030247145,4356473120,0,400477170,0,footway,,False,68.428,4356473120,4030247145,,Norte,,,,,,,
4030256903,6742797347,0,400478009,0,service,,True,22.614,6742797347,4030256903,,,,,,,,,
4030256903,11086442974,0,1194409314,0,footway,,False,15.465,11086442974,4030256903,,,,,,,,,
4030256904,4030258178,0,400478490,0,service,,True,13.788,4030258178,4030256904,,,,,,,,,
4030256904,5465535945,0,1156855670,0,service,,False,6.066,5465535945,4030256904,,,,,,,,,
4030256904,4030258176,0,400478009,0,service,,False,47.868,4030258176,4030256904,,,,,,,,,
4030256906,6742797346,0,400478010,0,footway,,False,21.315,6742797346,4030256906,,,,,,,,,
4030256906,4030256911,0,400478011,0,footway,,True,6.336,4030256911,4030256906,,,,,,,,,
4030256906,4030256920,0,400478011,0,footway,,False,11.221,4030256920,4030256906,,,,,,,,,
4030256908,4030256909,0,400478011,0,footway,,True,2.242,4030256909,4030256908,,,,,,,,,
4030256908,4030258176,0,1194409312,0,footway,,True,10.093,4030258176,4030256908,,,,,,,,,
4030256908,4030256916,0,400478011,0,footway,,False,4.215,4030256916,4030256908,,,,,,,,,
4030256909,4030258175,0,400478489,0,footway,,True,13.219,4030258175,4030256909,,,,,,,,,
4030256909,4030256920,0,400478011,0,footway,,True,6.726,4030256920,4030256909,,,,,,,,,
4030256911,4030256912,0,400478011,0,footway,,True,2.112,4030256912,4030256911,,,,,,,,,
4030256911,11086442966,0,1194409311,0,footway,,True,8.011,11086442966,4030256911,,,,,,,,,
4030256912,4030256916,0,400478011,0,footway,,True,8.441,4030256916,4030256912,,,,,,,,,
4030256912,11086686786,0,400478284,0,footway,,False,60.152,11086686786,4030256912,,,,,,,,,
4030256916,11086686785,0,400478281,0,footway,,False,62.118,11086686785,4030256916,,,,,,,,,
4030256920,11086442967,0,1194409313,0,footway,,False,9.364,11086442967,4030256920,,,,,,,,,
4030256925,4030256926,0,400478012,0,footway,,True,8.868,4030256926,4030256925,,12,,,,,,,
4030256928,4030256929,0,400478014,0,footway,,True,6.326,4030256929,4030256928,,10,,,,,,,
4030256928,4030256930,0,1156855669,0,service,,False,5.408,4030256930,4030256928,,,,,,,,,
4030256930,4030256931,0,400478015,0,footway,,True,6.447,4030256931,4030256930,,9,,,,,,,
4030257450,11086686785,0,400478281,0,footway,,True,4.277,11086686785,4030257450,,,,,,,,,
4030257450,11086686786,0,400478284,0,footway,,True,4.554,11086686786,4030257450,,,,,,,,,
4030257455,4030257460,0,400478286,0,service,,True,36.416,4030257460,4030257455,,,,,,,,,
4030257455,5465545082,0,400478286,0,service,,False,15.391,5465545082,4030257455,,,,,,,,,
4030257460,4030257461,0,400478287,0,service,,True,28.711,4030257461,4030257460,,,,,,,,,
4030257460,5465543160,0,400478287,0,service,,False,13.475,5465543160,4030257460,,,,,,,,,
4030258175,6742797347,0,400478009,0,service,,False,6.071,6742797347,4030258175,,,,,,,,,
4030258175,4356473125,0,437868713,0,footway,,True,18.254,4356473125,4030258175,,,,,,,,,
4030258175,4030258176,0,400478009,0,service,,True,9.827,4030258176,4030258175,,,,,,,,,
4030258176,4030258177,0,400478490,0,service,,False,13.807,4030258177,4030258176,,,,,,,,,
4030258177,4030258178,0,400478491,0,service,,False,48.01,4030258178,4030258177,,,,,,,,parking_aisle,
4030258177,11086442202,0,400478490,0,service,,False,28.967,11086442202,4030258177,,,,,,,,,
4030258178,11086442958,0,400478490,0,service,,True,28.966,11086442958,4030258178,,,,,,,,,
4049211653,4337620608,0,110815337,0,pedestrian,,False,21.528,4337620608,4049211653,,Calle Mercaderes,,,,8,,,
4049211653,4049211656,0,"[402525374, 402525375]",0,corridor,,True,96.551,4049211656,4049211653,,,,,,,,,
4049211656,4249908441,0,399826756,1,tertiary,40,False,75.455,4249908441,4049211656,2,Calle Nicol?�s de Pi?�rola,,,,,,,
4052245158,5706253121,0,198354871,1,primary,60,False,79.218,5706253121,4052245158,2,Avenida Parra,,AR-114,,,,,
4055452444,4055452445,0,403167386,1,service,,False,5.946,4055452444,4055452445,,,,,,,,,
4055452445,4055452449,0,403167386,1,service,,False,27.158,4055452445,4055452449,,,,,,,,,
4055452445,5169434191,0,532762173,1,service,,False,67.255,4055452445,5169434191,,,,,,,,,
4055452449,5169434191,0,532762174,1,service,,False,15.298,5169434191,4055452449,,,,,,,,,
4055452452,5169434180,0,110831198,0,residential,40,True,19.403,5169434180,4055452452,2,Calle San Agust?�n,,,,,,,
4055452452,4055452455,0,403167387,0,footway,,True,135.951,4055452455,4055452452,,,,,,,,,
4055452457,4055452460,0,403167388,1,primary,50,False,55.798,4055452457,4055452460,2,Avenida de la Marina,,,,,,,
4055452457,4055452458,0,403167389,0,pedestrian,,True,54.004,4055452458,4055452457,,,,,,,,,
4055452458,4055452460,0,"[403167390, 200021255]",0,"['pedestrian', 'service']",40,"[False, True]",100.414,4055452460,4055452458,,Pasaje Jacinto Iba??ez,,,,,,alley,
4055452460,4055463394,0,403167388,1,primary,50,False,78.191,4055452460,4055463394,2,Avenida de la Marina,,,,,,,
4055463394,4055463399,0,403167397,1,primary_link,20,False,29.574,4055463394,4055463399,1,,,,,,,,
4055466962,7112683824,0,356841216,1,primary,60,False,12.286,4055466962,7112683824,2,Juan del la Torre,,,,,,,
4055466962,4110478631,0,356841216,1,primary,60,False,20.253,4110478631,4055466962,2,Juan del la Torre,,,,,,,
4055499740,4915894855,0,354948228,0,secondary,40,False,87.968,4915894855,4055499740,,Calle Paucarpata,,,,,,,
4055499740,5465525924,0,"[403174016, 1167131313, 1167131314]",0,service,,True,25.786,5465525924,4055499740,,,,,,,,,yes
4055499742,4055499747,0,403174016,0,service,,False,48.467,4055499747,4055499742,,,,,,,,,
4055499742,10852999333,0,403174017,0,service,,True,4.347,10852999333,4055499742,,,,,,,,,
4055499742,9768373908,0,403174017,0,service,,False,4.663,9768373908,4055499742,,,,,,,,,
4055499743,5258340014,0,403174017,0,service,,True,36.215,5258340014,4055499743,,,,,,,,,
4055499743,4055499769,0,403174024,0,service,,True,10.936,4055499769,4055499743,,,,,,,,parking_aisle,
4055499743,4055499776,0,403174024,0,service,,False,37.701,4055499776,4055499743,,,,,,,,parking_aisle,
4055499744,10852877548,0,403174017,0,service,,True,6.5,10852877548,4055499744,,,,,,,,,
4055499744,10852999333,0,403174017,0,service,,False,43.87,10852999333,4055499744,,,,,,,,,
4055499744,5465525997,0,403174036,0,service,,True,15.899,5465525997,4055499744,,,,,,,,,
4055499746,9768435421,0,403174018,0,service,,True,53.153,9768435421,4055499746,,,,,,,,,
4055499747,5465525922,0,403174016,0,service,,False,13.833,5465525922,4055499747,,,,,,,,,
4055499747,9768435421,0,403174018,0,service,,False,3.708,9768435421,4055499747,,,,,,,,,
4055499766,9768435559,0,403174017,0,service,,True,11.854,9768435559,4055499766,,,,,,,,,
4055499766,5258340014,0,403174017,0,service,,False,4.098,5258340014,4055499766,,,,,,,,,
4055499766,4055499768,0,403174023,0,service,,True,27.895,4055499768,4055499766,,,,,,,,,
4055499769,4055499776,0,403174024,0,service,,True,49.417,4055499776,4055499769,,,,,,,,parking_aisle,
4055499769,4055499785,0,403174025,0,footway,,True,40.288,4055499785,4055499769,,,,,,,,,
4055499776,5258340007,0,1167139731,0,footway,,True,5,5258340007,4055499776,,,,,,,,,
4055499784,10852800680,0,403174025,0,footway,,False,11.845,10852800680,4055499784,,,,,,,,,
4055499784,4055504800,0,403174030,0,footway,,True,33.304,4055504800,4055499784,,,,,,,,,
4055499784,5258339996,0,543967630,0,footway,,True,37.194,5258339996,4055499784,,,,,,,,,
4055499785,4055504798,0,403174026,0,footway,,True,34.705,4055504798,4055499785,,,,,,,,,
4055499785,10852927456,0,403174025,0,footway,,True,44.652,10852927456,4055499785,,,,,,,,,
4055504789,10852829981,0,403174027,0,footway,,True,35.695,10852829981,4055504789,,,,,,,,,
4055504789,10852927481,0,403174027,0,footway,,False,20.955,10852927481,4055504789,,,,,,,,,
4055504789,4055504806,0,403174033,0,footway,,False,43.581,4055504806,4055504789,,,,,,,,,
4055504790,4055504798,0,403174026,0,footway,,False,44.035,4055504798,4055504790,,,,,,,,,
4055504790,9768436835,0,"[403174026, 1063439262]",0,footway,,"[False, True]",100.216,9768436835,4055504790,,,,,,,,,
4055504790,9768435466,0,403174027,0,footway,,True,20.354,9768435466,4055504790,,,,,,,,,
4055504790,10852979979,0,403174027,0,footway,,False,29.242,10852979979,4055504790,,,,,,,,,
4055504792,4055509291,0,403174027,0,footway,,False,48.589,4055509291,4055504792,,,,,,,,,
4055504792,10852927437,0,403174035,0,footway,,False,11.99,10852927437,4055504792,,,,,,,,,
4055504792,10853083519,0,403174035,0,footway,,True,29.719,10853083519,4055504792,,,,,,,,,
4055504797,10852999334,0,403174029,0,footway,,True,5.777,10852999334,4055504797,,,,,,,,,
4055504797,4055509292,0,403174745,0,footway,,True,39.704,4055509292,4055504797,,,,,,,,,
4055504797,9768435565,0,403174035,0,footway,,True,20.143,9768435565,4055504797,,,,,,,,,
4055504798,10852829977,0,403174029,0,footway,,True,13.582,10852829977,4055504798,,,,,,,,,
4055504798,5258340007,0,403174029,0,footway,,False,29.578,5258340007,4055504798,,,,,,,,,
4055504799,10852927457,0,403174029,0,footway,,False,22.033,10852927457,4055504799,,,,,,,,,
4055504799,4055504800,0,403174032,0,footway,,True,6.459,4055504800,4055504799,,,,,,,,,
4055504799,4055504806,0,403174032,0,footway,,False,4.767,4055504806,4055504799,,,,,,,,,
4055504800,4055504806,0,403174032,0,footway,,True,10.803,4055504806,4055504800,,,,,,,,,
4055504808,10852979937,0,403174034,0,footway,,True,19.21,10852979937,4055504808,,,,,,,,,
4055504808,5465531106,0,567957520,0,footway,,True,15.611,5465531106,4055504808,,,,,,,,,
4055504808,5465531103,0,567957520,0,footway,,False,15.03,5465531103,4055504808,,,,,,,,,
4055504809,10852979946,0,403174034,0,footway,,False,30.255,10852979946,4055504809,,,,,,,,,
4055504809,10852829946,0,423708598,0,footway,,False,56.079,10852829946,4055504809,,,,,,,,,
4055504809,8082052528,0,"[575138354, 423708598]",0,"['service', 'footway']",,"[False, True]",95.936,8082052528,4055504809,,,,,,,,,
4055504811,4055509292,0,403174036,0,service,,False,3.287,4055509292,4055504811,,,,,,,,,
4055504811,4055520791,0,403175954,0,service,,True,41.24,4055520791,4055504811,,,,,,,,,
4055504811,4055520792,0,403175955,0,footway,,True,9.252,4055520792,4055504811,,,,,,,,,
4055504813,4055504814,0,403175955,0,footway,,True,21.932,4055504814,4055504813,,,,,,,,,
4055504813,4055520792,0,403175955,0,footway,,False,17.458,4055520792,4055504813,,,,,,,,,
4055504813,10852927437,0,403174746,0,footway,,False,37.59,10852927437,4055504813,,,,,,,,,
4055504818,9768436874,0,403174039,0,service,,True,11.995,9768436874,4055504818,,,,,,,,,
4055504818,4055514951,0,403175232,0,service,,False,55.784,4055514951,4055504818,,,,,,,,,
4055504818,4055514952,0,403175233,0,service,,True,44.882,4055514952,4055504818,,,,,,,,,
4055504819,10852935822,0,1275766894,0,secondary,50,True,4.911,10852935822,4055504819,4,Avenida Independencia,,,,,,,
4055504819,4055564118,0,403174039,0,service,,False,28.004,4055564118,4055504819,,,,,,,,,
4055509290,10852999350,0,403174029,0,footway,,False,15.31,10852999350,4055509290,,,,,,,,,
4055509290,4055509291,0,403174743,0,footway,,True,40.146,4055509291,4055509290,,,,,,,,,
4055509290,5465531111,0,403174029,0,footway,,True,41.906,5465531111,4055509290,,,,,,,,,
4055509291,5465531112,0,403174027,0,footway,,False,36.832,5465531112,4055509291,,,,,,,,,
4055509292,5465525997,0,403174036,0,service,,False,12.231,5465525997,4055509292,,,,,,,,,
4055509295,10852935824,0,1167131325,0,footway,,True,2.88,10852935824,4055509295,,,,,,,,,
4055509295,10853004830,0,403174749,0,footway,,True,31.672,10853004830,4055509295,,,,,,,,,
4055509295,10853083519,0,"[403174035, 1167131325, 403174038]",0,"['footway', 'steps']",,False,47.114,10853083519,4055509295,,,,,,,,,
4055509296,4055509297,0,403174747,0,footway,,True,19.889,4055509297,4055509296,,,,,,,,,
4055509296,9768435516,0,403174747,0,footway,,False,43.724,9768435516,4055509296,,,,,,,,,
4055509296,10852935821,0,403181043,0,footway,,True,27.198,10852935821,4055509296,,,,,,,,,
4055509297,10853004838,0,403174039,0,service,,True,10.975,10853004838,4055509297,,,,,,,,,
4055509297,11086686758,0,403174039,0,service,,False,8.873,11086686758,4055509297,,,,,,,,,
4055509299,10852945714,0,403174750,0,footway,,True,6.968,10852945714,4055509299,,,,,,,,,
4055514923,11086686758,0,403174039,0,service,,True,42.173,11086686758,4055514923,,,,,,,,,
4055514923,10852935817,0,403174039,0,service,,False,20.648,10852935817,4055514923,,,,,,,,,
4055514923,4055514929,0,403175228,0,footway,,True,62.886,4055514929,4055514923,,,,,,,,,
4055514924,4055514927,0,247761129,0,footway,,True,33.939,4055514927,4055514924,,,,,,,,,
4055514924,4055514929,0,403175228,0,footway,,False,8.207,4055514929,4055514924,,,,,,,,,
4055514926,10852935817,0,403174039,0,service,,True,11.995,10852935817,4055514926,,,,,,,,,
4055514926,10852945713,0,403174039,0,service,,False,29.774,10852945713,4055514926,,,,,,,,,
4055514926,4055514930,0,403175229,0,footway,,True,62.275,4055514930,4055514926,,,,,,,,,
4055514927,5393843692,0,247761129,0,footway,,True,189.819,5393843692,4055514927,,,,,,,,,
4055514927,4055514930,0,403175229,0,footway,,False,8.37,4055514930,4055514927,,,,,,,,,
4055514929,10853004859,0,403175230,0,footway,,True,19.557,10853004859,4055514929,,,,,,,,,
4055514929,10853004861,0,403175230,0,footway,,False,15.344,10853004861,4055514929,,,,,,,,,
4055514930,10853004863,0,403175230,0,footway,,True,26.298,10853004863,4055514930,,,,,,,,,
4055514930,10853004859,0,403175230,0,footway,,False,14.486,10853004859,4055514930,,,,,,,,,
4055514931,10853004863,0,403175230,0,footway,,False,23.079,10853004863,4055514931,,,,,,,,,
4055514951,5465531116,0,567957522,0,footway,,False,10.481,5465531116,4055514951,,,,,,,,,
4055514951,5519398998,0,575138349,0,service,,True,16.513,5519398998,4055514951,,,,,,,,,
4055520792,4055520794,0,403175956,0,footway,,True,60.417,4055520794,4055520792,,,,,,,,,
4055542236,11016601693,0,198372047,1,tertiary,40,False,44.852,4055542236,11016601693,2,Avenida la Salle,,,,,,,
4055542236,11016601695,0,403178482,0,service,,False,8.282,11016601695,4055542236,,,,,,,,driveway,
4055542236,4055542237,0,"[403178482, 1186070062]",0,service,,True,63.693,4055542237,4055542236,,,,,,,private,driveway,
4055542236,11016601697,0,198372047,1,tertiary,40,False,57.87,11016601697,4055542236,2,Avenida la Salle,,,,,,,
4055564118,10853004838,0,403174039,0,service,,False,10.395,10853004838,4055564118,,,,,,,,,
4055564118,10852935821,0,403181043,0,footway,,False,4.411,10852935821,4055564118,,,,,,,,,
4058235023,4058235024,0,538636614,0,footway,,True,21.664,4058235024,4058235023,,,,,,,,,
4058235023,11012483294,0,198105562,1,primary_link,40,False,9.706,11012483294,4058235023,1,,,,,,,,
4058235024,4058235025,0,538636614,0,footway,,True,5.437,4058235025,4058235024,,,,,,,,,
4058235024,5213421935,0,538636615,1,tertiary,40,False,10.526,4058235024,5213421935,2,Avenida los Incas,,,,,,,
4058235025,11099591051,0,399141482,0,footway,,True,28.519,11099591051,4058235025,,,,,,,,,
4058235026,4058235027,0,198105331,1,primary_link,40,False,3.164,4058235026,4058235027,1,,,,,,,,
4058235026,4058235029,0,399142387,0,cycleway,,False,17.443,4058235029,4058235026,,,,,,,,,
4058235027,4096498609,0,198105332,1,secondary,40,False,18.758,4096498609,4058235027,,,,,roundabout,,,,
4058235029,11002202206,0,399142387,0,cycleway,,False,3.739,11002202206,4058235029,,,,,,,,,
4058235029,5213421946,0,424465895,1,primary_link,40,False,4.122,4058235029,5213421946,1,,,,,,,,
4058235029,4096498609,0,424465895,1,primary_link,40,False,9.183,4096498609,4058235029,1,,,,,,,,
4058235030,5213421943,0,403475178,1,secondary,40,False,2.579,4058235030,5213421943,,Avenida Lambramani,,,,,,,
4058235030,11099591052,0,1196088904,0,footway,,True,9.461,11099591052,4058235030,,,,,,,,,
4058235030,11002202206,0,399142387,0,cycleway,,True,11.376,11002202206,4058235030,,,,,,,,,
4058263259,4058263260,0,403477586,0,footway,,True,9.214,4058263260,4058263259,,,,,,,,,
4058263267,4717589347,0,403477588,0,footway,,True,27.747,4717589347,4058263267,,,,,,,,,
4058263268,4717589346,0,110813283,0,pedestrian,,True,18.525,4717589346,4058263268,,,,,,,,,
4058263268,4717589347,0,403477588,0,footway,,False,17.498,4717589347,4058263268,,,,,,,,,
4058263268,5432125026,0,110813283,0,pedestrian,,False,94.357,5432125026,4058263268,,,,,,,,,
4058288099,4058322255,0,644545196,1,tertiary,40,False,85.262,4058288099,4058322255,,Calle Ayacucho,,,,,,,
