u,v,key,osmid,oneway,highway,maxspeed,reversed,length,from,to,lanes,name,bridge,junction,width,access,service,tunnel
260365760,2084948810,0,24009992,0,residential,30,True,7.265,2084948810,260365760,2,Puente de Fierro,,,,,,,
260365760,3603796540,0,426617868,1,primary,60,False,88.073,260365760,3603796540,,Avenida Parra,,AR-114,,,,,
260365760,5375734622,0,557398372,0,service,,False,134.523,5375734622,260365760,,,,,,,,driveway,
260366211,5967787216,0,25979656,0,tertiary,50,True,33.05,5967787216,260366211,2,Fernandini,,,,,,,
260366211,5199090494,0,26282106,1,tertiary,50,False,107.989,260366211,5199090494,2,Calle Puente Bol?�var,,,,,,,
260366211,1264364511,0,109449965,0,tertiary,50,False,113.904,1264364511,260366211,2,Avenida Metropolitana,,,,,,,
260366211,5199090495,0,198349078,1,tertiary,50,False,110.019,5199090495,260366211,2,Calle Puente Bol?�var,,,,,,,
260368188,2087449451,0,24010201,1,trunk,50,False,20.686,260368188,2087449451,2,Avenida Miguel Forga,,PE-34C,,,,,
260368188,1198315913,0,110826918,1,residential,40,False,15.72,1198315913,260368188,,Calle Jacinto Ib?�??ez,,,,,,,
260368188,10904424543,0,24010201,1,trunk,50,False,10.068,10904424543,260368188,2,Avenida Miguel Forga,,PE-34C,,,,,
283417881,5200794813,0,25979652,1,tertiary,50,False,8.138,283417881,5200794813,2,Avenida San Jer??nimo,,,,,,,
283417881,283422406,0,26282268,0,tertiary,40,False,141.667,283422406,283417881,2,Avenida San Jer??nimo,,,,,,,
283417881,283417887,0,110830870,1,tertiary,50,False,10.644,283417887,283417881,2,Avenida San Jer??nimo,,,,,,,
283417887,4027122519,0,110809522,0,service,,True,53.561,4027122519,283417887,,,,,,,,alley,
283417887,5200794813,0,1196822946,0,footway,,False,12.385,5200794813,283417887,,,,,,,,,
283417887,1281950259,0,110830870,1,tertiary,50,False,163.599,1281950259,283417887,2,Avenida San Jer??nimo,,,,,,,
283422405,5225033223,0,110819120,0,residential,30,True,14.276,5225033223,283422405,,Calle Ernesto Loreto,,,,,,,
283422405,4682407649,0,112873845,0,tertiary,50,True,15.203,4682407649,283422405,2,Avenida San Mart?�n,,,,,,,
283422405,283422406,0,1275746487,0,tertiary,40,True,75.982,283422406,283422405,2,Avenida San Jer??nimo,,,,,,,
283422405,5195285777,0,26009318,1,tertiary,30,False,141.683,5195285777,283422405,2,Mar?�a Nieves y Bustamante,,,,,,,
